,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,0.0,-,0.0,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,-,0.1,0.0,-,-,0.0,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,-,0.1,0.2,0.3,0.1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,-,0.0,0.0,0.1,0.1,0.2,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,0.1,0.0,0.0,0.4,0.3,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,-,0.0,0.1,0.6,0.7,0.6,0.3,0.3,-,0.0,0.0,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,0.0,-,0.2,0.6,0.9,1.0,0.8,0.3,0.2,0.0,0.1,-,0.1,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,0.0,0.1,0.5,1.2,0.7,1.0,1.0,0.2,0.2,0.1,0.2,0.0,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,-,0.0,0.2,0.5,1.3,1.9,1.5,1.3,1.2,0.5,0.1,0.2,-,0.0,0.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,-,-,0.2,0.6,1.4,2.2,2.6,2.2,1.7,0.9,0.3,0.1,0.1,0.2,0.1,-,0.1,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,-,0.0,0.4,2.4,2.7,4.2,3.2,3.5,2.0,1.0,0.5,0.3,0.5,0.1,0.0,0.1,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,0.3,1.8,2.1,4.4,3.4,3.7,3.1,1.9,1.2,0.8,0.3,0.4,0.2,0.1,0.2,0.1,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,-,-,0.0,0.4,1.4,3.5,4.4,5.9,5.4,3.4,3.1,1.5,1.3,0.9,0.5,0.1,0.0,0.0,0.3,0.1,0.0,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
127,-,-,0.0,0.0,1.1,2.3,4.5,6.1,6.6,4.2,4.8,2.8,2.1,1.4,1.0,0.4,0.2,0.3,0.2,0.1,0.2,0.1,0.0,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,-,-,0.2,0.0,0.7,2.0,5.4,5.1,6.9,7.0,4.6,3.0,2.7,1.6,1.3,0.9,0.5,0.4,0.2,0.1,0.0,-,0.1,0.0,-,0.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,0.0,0.1,2.1,3.8,5.1,6.5,6.6,7.0,4.4,3.7,2.2,1.4,0.9,0.8,0.8,0.7,0.1,0.4,0.3,0.2,0.4,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
