,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
101,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,-,-,-,-,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,-,0.1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,0.2,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,0.2,0.4,0.3,0.0,0.0,0.1,-,-,0.0,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,0.0,0.1,0.4,0.2,0.1,0.0,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,0.2,0.1,0.8,0.3,0.5,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,0.0,0.6,0.7,0.6,0.6,0.2,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,0.2,0.5,0.8,1.4,1.4,0.7,0.1,0.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,0.1,0.3,1.9,2.4,2.2,1.0,0.4,0.1,0.2,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,-,0.3,1.8,4.2,3.1,2.4,1.4,0.3,0.3,0.1,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,0.0,0.2,1.5,3.9,4.4,3.5,1.9,0.8,0.4,0.2,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-
114,-,0.1,1.6,4.9,7.4,4.9,4.0,1.4,0.6,0.3,0.0,0.1,0.0,-,0.1,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
115,-,0.1,0.9,3.9,8.4,7.1,5.3,3.9,2.3,0.6,0.4,0.3,0.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,0.1,0.3,1.0,3.1,9.8,11.5,8.1,5.7,2.6,1.8,0.6,0.3,0.3,0.2,0.0,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,-,0.1,0.9,2.0,7.0,12.2,11.4,8.9,4.9,1.8,1.3,0.6,0.4,0.2,0.0,0.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,-,0.2,1.7,5.9,12.1,13.8,10.6,5.7,3.8,2.1,0.6,0.7,0.2,0.3,0.2,0.0,-,0.0,-,0.2,-,-,-,-,-,-,-,-,-,-,-,-
119,-,-,0.2,1.4,4.4,10.4,16.5,14.1,10.1,6.0,2.9,1.8,0.8,0.8,0.3,0.1,0.1,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
120,-,-,0.0,0.6,2.9,9.3,14.1,16.4,11.3,7.6,4.8,3.8,1.2,1.8,0.6,0.6,0.3,-,-,-,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-
121,-,-,0.0,0.2,1.7,7.6,12.9,14.2,12.3,9.8,6.6,3.4,1.4,0.8,0.8,0.7,0.3,0.2,0.2,0.2,-,0.0,0.1,-,-,-,-,-,-,-,-,-,-
122,-,-,-,0.0,0.8,4.4,10.1,13.8,12.2,10.0,9.5,5.2,2.6,2.1,0.9,0.4,0.8,0.4,0.1,0.1,0.0,0.2,-,0.0,0.0,-,-,-,-,-,-,-,-
123,-,-,-,0.2,0.3,2.9,7.6,12.2,12.6,13.2,10.3,5.6,4.4,3.5,1.9,1.2,0.7,0.3,0.8,0.3,0.2,0.1,-,0.0,0.0,-,-,-,-,-,-,-,-
124,-,-,-,-,0.3,1.0,4.9,9.0,10.3,12.2,11.5,7.7,4.4,2.4,2.5,1.6,0.6,0.4,0.5,0.2,0.1,0.1,0.0,-,0.0,-,-,-,-,-,-,-,-
125,-,-,-,-,0.1,0.2,2.7,6.0,8.9,8.6,7.9,6.9,5.9,2.9,2.3,1.1,1.1,1.0,0.4,0.3,0.4,0.3,0.0,0.0,-,0.0,-,-,-,0.0,-,-,0.0
126,-,-,-,-,0.0,0.4,1.6,2.8,6.6,8.0,8.8,7.1,3.6,3.9,2.5,1.9,1.5,0.7,0.6,0.1,0.3,0.2,0.1,0.2,-,0.0,-,-,-,-,-,-,-
127,-,-,-,-,0.0,0.3,0.5,2.2,3.6,4.5,6.5,6.6,5.0,4.3,3.3,2.3,1.2,1.3,0.7,0.4,0.1,0.2,0.1,0.1,0.0,0.0,0.0,-,-,-,-,0.0,-
128,-,-,-,-,-,-,0.4,1.3,2.2,4.7,5.5,4.7,3.3,2.8,2.8,3.0,1.5,0.8,0.9,1.4,0.6,0.2,0.1,0.2,0.1,0.0,0.0,-,-,-,-,0.3,-
129,-,-,-,-,-,0.1,0.4,0.8,1.8,2.6,3.0,4.6,3.0,3.5,2.2,1.7,1.7,0.9,0.7,0.6,0.4,0.4,0.3,0.5,0.2,0.1,0.0,-,0.1,-,-,-,-
130,-,-,-,-,-,-,0.0,0.4,0.8,1.4,2.1,2.2,3.3,1.5,1.7,1.9,0.9,0.9,0.8,0.9,0.6,0.1,0.3,0.2,0.1,0.1,0.1,-,-,-,-,-,0.1
131,-,-,-,-,-,0.1,-,0.0,0.8,0.2,1.6,2.0,2.3,1.4,1.9,1.6,1.0,0.8,0.7,0.3,0.4,0.6,0.1,0.4,0.2,0.1,0.4,0.0,0.2,0.0,-,-,0.0
132,-,-,-,-,-,0.0,-,0.0,0.3,1.0,1.3,1.0,0.9,1.6,1.2,1.2,0.5,1.0,0.8,0.8,0.5,0.1,0.3,0.2,0.2,0.0,0.0,-,0.1,0.2,-,0.1,0.2
133,-,-,-,-,-,-,-,0.2,0.0,0.1,0.3,0.6,0.7,0.7,0.9,0.3,0.7,0.5,0.4,0.5,0.2,0.5,0.0,0.3,0.2,-,-,0.0,0.0,0.1,-,0.1,-
