,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
97,-,-,0.1,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,-,-,0.1,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,-,-,0.1,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,-,0.1,0.0,0.1,0.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,-,0.0,-,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,-,-,0.7,0.5,0.4,0.4,-,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,-,-,0.3,0.8,0.5,0.5,0.2,0.1,0.2,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,-,0.1,0.2,1.0,1.3,0.8,0.8,0.2,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,-,-,0.6,1.4,1.8,2.1,1.1,0.2,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,-,-,0.4,0.9,3.0,2.5,2.4,0.7,0.5,0.0,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,-,-,0.4,0.8,3.7,4.4,4.1,1.6,0.8,0.1,0.1,0.0,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-
108,-,-,0.1,1.0,3.5,5.8,5.4,3.8,1.6,0.5,0.1,0.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,-,-,0.1,0.7,4.0,9.7,8.5,6.0,3.4,1.2,0.3,0.4,-,0.2,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,-,-,0.0,0.4,3.2,10.3,11.1,9.3,5.7,1.7,0.9,0.3,0.2,-,-,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-
111,-,-,-,0.2,2.2,8.2,14.8,13.0,7.6,3.2,1.4,0.5,0.3,0.2,0.1,0.0,0.0,-,-,-,0.0,-,-,-,-,-,-,-,-
