,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,-,-,0.0,0.1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,-,0.0,-,0.1,-,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,-,-,0.0,0.1,0.2,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,-,0.1,0.0,0.1,0.3,0.2,0.0,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,-,0.2,0.1,0.2,0.7,0.6,0.0,0.1,-,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,-,-,0.2,0.3,0.5,0.6,0.3,0.1,0.3,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,0.1,0.1,0.4,0.6,0.8,1.4,1.0,0.3,0.9,0.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,-,-,0.4,0.8,2.0,1.9,1.8,0.8,0.3,0.1,0.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,-,-,0.1,0.3,2.0,2.1,2.5,2.3,0.7,0.5,0.3,0.1,0.1,-,0.1,0.0,-,0.0,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,-,0.2,0.7,1.2,2.9,3.5,2.9,1.8,1.0,0.3,0.4,0.2,-,0.1,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,-,-,0.3,0.3,1.2,4.2,3.6,4.2,2.7,1.6,1.1,0.3,0.2,0.1,0.1,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,-,-,-,0.7,1.7,3.3,4.7,7.0,4.4,2.2,1.1,0.5,0.4,0.5,0.1,0.1,0.1,0.1,0.0,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,0.8,2.7,6.0,6.7,8.0,4.0,3.6,2.3,0.9,0.7,0.2,0.2,0.0,0.0,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,-,-,-,0.1,1.1,2.5,6.5,9.7,10.3,4.8,4.8,2.9,1.1,1.2,0.8,0.5,0.2,0.1,0.2,0.0,0.1,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-
123,-,0.0,0.0,0.1,0.7,1.7,5.1,8.3,10.7,9.3,6.7,3.4,2.7,1.4,1.1,0.4,0.5,0.3,0.1,0.3,0.0,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-
124,-,-,-,0.1,0.3,1.9,3.6,10.6,11.2,11.9,7.6,5.4,3.2,1.6,2.3,1.1,0.8,0.2,0.5,0.0,0.2,0.1,-,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,-,0.1,0.8,3.3,8.4,9.2,11.0,9.4,7.8,5.9,3.8,2.4,1.9,1.1,0.2,0.2,0.5,0.3,0.1,0.4,-,-,0.0,0.0,-,-,-,-,-,-,-,-,-
126,-,-,-,-,-,0.2,2.1,5.2,9.1,10.5,10.4,9.7,6.2,3.4,2.6,3.1,1.3,0.4,0.7,0.3,0.2,0.3,0.1,0.0,0.1,-,0.0,0.0,-,-,0.2,-,-,-,-,-
127,-,-,-,-,0.1,0.2,1.4,4.1,7.8,10.6,10.3,10.3,7.8,5.3,5.8,2.6,2.1,1.4,1.5,1.3,0.7,0.1,0.2,0.2,0.1,0.2,0.1,0.0,-,0.0,-,-,0.0,-,-,-
128,-,-,-,-,-,0.4,1.6,2.9,7.0,9.1,9.5,10.1,9.3,6.9,4.0,2.5,2.3,1.2,1.0,0.9,0.4,0.3,0.1,0.2,0.1,0.1,0.0,-,0.2,-,-,-,-,-,-,-
129,-,-,-,-,-,-,0.4,1.1,3.7,8.4,9.4,10.3,8.5,6.5,5.3,4.1,2.1,1.6,1.7,1.2,1.0,0.9,0.3,0.2,0.3,0.2,0.1,0.1,-,-,0.0,-,-,-,-,-
130,-,-,-,-,-,-,0.4,0.6,2.3,4.8,7.5,8.7,8.1,7.9,5.5,4.9,2.0,3.5,2.5,1.9,1.0,1.4,0.7,0.7,0.1,0.1,0.1,0.0,0.1,0.0,-,0.0,-,-,-,-
131,-,-,-,-,-,-,0.0,0.7,1.9,2.9,6.1,7.7,7.3,5.3,6.1,3.8,2.7,2.6,2.3,1.7,0.7,1.0,0.6,0.6,0.5,0.1,0.2,0.3,0.3,0.1,0.0,-,0.0,-,-,-
132,-,-,-,-,-,-,0.2,0.2,0.8,1.6,4.1,4.5,5.5,5.7,5.2,4.2,3.1,2.9,2.1,1.8,1.0,0.9,0.7,0.4,0.2,0.2,0.5,0.1,0.1,0.1,0.1,0.0,-,-,-,-
133,-,-,-,-,-,-,-,0.1,0.3,1.4,2.5,4.1,5.3,5.5,3.9,4.4,3.0,3.1,2.8,1.7,2.2,1.1,0.8,1.1,0.6,0.6,0.5,0.3,0.2,0.4,0.0,0.1,-,-,-,-
134,-,-,-,-,-,-,-,0.2,0.1,0.6,1.6,1.7,3.4,3.7,3.4,3.4,3.4,3.0,2.8,2.4,1.3,1.0,1.1,0.5,0.3,0.4,0.3,0.2,0.2,0.2,0.1,0.0,-,0.0,0.1,-
135,-,-,-,-,-,-,-,0.1,0.0,0.2,1.5,0.9,2.3,3.1,2.3,2.7,2.5,1.8,1.9,0.9,0.8,0.9,0.8,0.6,0.9,0.3,0.2,0.3,0.2,0.2,0.1,0.0,0.0,0.0,-,0.1
136,-,-,-,-,-,-,-,0.2,0.1,0.4,0.2,0.7,1.5,2.9,2.4,1.7,2.2,2.3,1.2,1.4,1.5,1.0,0.8,0.5,0.5,0.7,0.3,0.1,0.1,0.2,0.1,0.2,0.1,0.1,-,0.1
137,-,-,-,-,-,-,-,0.1,-,-,0.6,0.2,1.1,1.3,1.4,1.4,1.7,0.8,1.3,1.2,1.6,1.4,0.9,0.7,0.7,0.3,0.5,0.2,0.2,0.0,0.1,0.0,0.0,-,0.0,0.1
138,-,-,-,-,-,-,-,-,0.1,0.1,-,0.3,0.3,0.8,1.1,1.4,0.8,1.3,1.3,0.6,0.6,0.9,0.6,0.4,0.7,0.4,0.2,0.1,0.2,0.1,0.1,0.1,0.4,0.0,0.1,0.2
139,-,-,-,-,-,-,-,-,-,-,-,0.3,0.2,0.8,0.5,0.9,0.7,0.8,0.7,1.0,0.7,0.4,0.4,0.9,0.5,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.0,0.0,0.2,0.1
140,-,-,-,-,-,-,-,-,-,-,0.1,0.2,0.1,0.2,0.3,0.8,1.4,0.7,0.5,0.6,0.2,0.5,0.4,0.3,0.1,0.3,0.1,0.1,0.6,0.4,0.1,-,0.1,-,0.1,0.1
141,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,0.5,0.2,0.4,0.1,0.2,0.3,0.0,0.3,0.3,0.4,0.3,0.4,0.2,0.1,0.0,0.2,-,0.1,0.1,0.1,0.2,0.3
142,-,-,-,-,-,-,-,-,-,-,-,0.0,-,0.1,-,0.0,0.1,0.5,0.1,0.3,0.2,0.3,0.2,0.3,0.1,0.1,0.2,0.3,0.1,0.0,0.1,0.0,0.2,0.1,-,0.2
143,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,0.3,-,0.4,0.2,0.1,0.4,0.1,0.0,0.2,0.2,-,0.0,0.0,0.1,0.0,0.2,-,0.0,0.3,0.0,0.2
144,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,0.0,0.1,0.1,0.1,0.2,0.0,0.2,0.1,0.1,0.2,-,0.1,0.1,0.2,0.3,0.1,0.1,-,-,0.1
145,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.2,0.1,-,0.0,-,0.2,0.1,-,-,0.0,-,0.1,-,0.0,0.0,-,0.0,0.0,-,0.0,-,0.3
146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,0.0,0.0,-,-,0.1,-,0.1,0.0,-,-,0.1,0.0,-,0.1
147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.1,0.2,0.0,0.1,0.1,0.1,-,-,0.1,-,0.0,-,-,0.0
148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.1,0.0,-,0.0,0.1,-,0.0,-,-,-,-,-,0.1
149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,0.0,-,-,0.1,-,0.1,-,-,-,-,-,0.0,-,0.2
