,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
114,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,-,-,-,0.1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,0.0,-,-,-,0.1,0.1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,-,-,0.1,-,0.0,0.1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,-,0.1,-,0.1,0.0,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,-,0.0,0.1,0.2,0.5,0.1,0.1,0.1,-,-,-,0.2,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,-,-,0.0,0.2,0.4,0.2,0.1,0.1,-,0.2,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,0.1,0.2,0.0,0.2,0.3,0.2,0.3,0.4,0.0,0.1,0.0,0.0,0.2,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,0.2,-,0.2,0.4,0.7,0.8,0.5,0.7,0.1,0.1,0.1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,-,0.1,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.2,0.1,0.1,0.2,0.0,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,0.0,0.0,0.0,0.4,0.2,0.5,0.8,0.8,0.9,0.8,0.4,0.1,0.1,0.1,0.1,0.1,-,-,0.0,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,-,-,-,0.0,0.4,1.1,1.7,1.6,1.0,0.8,1.2,0.9,0.1,0.1,0.1,0.6,0.2,0.0,-,0.1,0.0,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,-,0.0,0.2,0.0,0.3,1.1,1.8,1.9,3.2,1.6,1.7,0.8,0.8,0.3,0.3,0.1,0.1,0.0,0.0,0.0,-,0.0,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,-,-,-,0.6,0.6,1.6,2.1,3.8,2.2,1.9,1.3,0.9,1.1,0.3,0.3,0.3,0.1,0.2,-,-,0.1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,-,-,-,0.2,0.2,1.1,1.7,2.3,2.9,3.0,3.0,1.8,1.0,1.0,0.5,0.4,0.3,0.4,0.3,0.2,0.1,0.1,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,-,-,0.1,0.4,0.7,1.4,2.7,2.6,4.1,4.2,2.9,2.4,1.5,1.2,0.6,0.5,0.8,0.1,0.1,0.1,0.3,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,-,-,0.0,0.0,0.8,1.0,2.0,4.1,4.6,3.7,2.8,3.9,3.3,2.2,1.0,0.9,0.7,0.4,0.6,0.2,0.2,0.1,0.1,0.0,0.0,0.2,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,-,0.0,0.1,0.3,1.0,3.0,3.5,4.2,4.2,5.9,4.0,2.7,2.5,1.9,1.2,0.5,0.7,0.4,0.2,0.2,0.3,0.3,0.1,0.1,0.1,0.0,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,-,-,-,-,-,0.1,0.8,1.9,2.6,5.7,4.2,4.4,5.4,3.7,2.9,2.3,1.6,1.4,0.9,0.6,0.5,0.6,0.2,0.2,0.2,0.0,0.4,0.0,-,-,0.0,0.0,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,-,-,-,-,-,0.0,0.6,1.0,2.9,3.9,4.4,5.2,4.9,5.6,4.5,2.8,1.7,1.6,1.2,1.0,0.5,0.5,0.2,0.3,0.4,0.2,0.2,0.0,0.1,0.0,0.1,-,0.1,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
